wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc
7,3,0,3,16,13,0,3,6,0.75,55,0.5,0,0.8,0.833333333,0,0,6.571428571,2,0.8571
5,6,0,7,34,2,3,6,1,0.8,202,1.0,2,0.99389313,0.35,0,0,38.4,1,0.8
14,4,0,5,29,91,2,4,12,1.0,172,1.0,1,0.878504673,0.357142857,0,0,11.21428571,4,1.7857
22,4,5,30,104,63,5,25,11,0.571428571,707,1.0,1,0.875739645,0.184659091,4,12,31.04545455,9,1.7727
6,1,0,10,38,9,6,4,2,1.026086957,388,0.652173913,0,0.0,0.3,0,0,59.83333333,10,2.8333
1,1,0,0,2,0,0,0,1,2.0,68,0.015625,0,0.0,1.0,0,0,3.0,0,0.0
2,0,0,4,6,1,0,4,2,2.0,18,0.0,0,0.0,1.0,0,0,8.0,1,0.5
24,2,0,6,42,0,1,5,22,0.818181818,423,0.636363636,5,0.34375,0.291666667,1,6,16.16666667,2,0.9167
5,1,0,7,14,0,3,4,4,1.211538462,391,0.051282051,1,0.0,0.375,0,0,69.4,2,0.8
5,1,0,5,7,10,1,4,5,2.0,30,0.0,0,0.0,0.25,0,0,5.0,1,0.8
11,2,0,4,16,55,2,3,11,1.1,96,0.333333333,0,0.25,0.272727273,0,0,7.454545455,1,0.8182
4,4,12,15,7,4,12,3,3,0.666666667,22,1.0,1,0.928571429,0.5,0,0,4.25,1,0.5
3,4,0,2,6,3,0,2,3,2.0,17,0.0,0,0.979166667,0.5,0,0,4.666666667,1,0.6667
6,2,0,6,36,0,1,0,5,0.3,165,1.0,0,0.583333333,0.5,1,2,26.16666667,3,1.8333
41,1,0,6,54,516,5,1,41,0.875,507,1.0,0,0.0,0.297560976,0,0,10.95121951,1,0.9268
3,1,0,4,6,0,2,2,2,0.5,33,1.0,1,0.0,0.666666667,0,0,9.0,2,1.0
16,1,0,13,31,76,5,8,13,0.791666667,165,1.0,2,0.0,0.1953125,0,0,8.8125,4,1.3125
7,1,0,36,7,21,36,0,7,2.0,7,0.0,0,0.0,0.523809524,0,0,0.0,1,1.0
6,1,0,2,11,3,1,1,4,0.6,53,1.0,0,0.0,0.666666667,0,0,7.5,1,0.8333
2,1,0,2,3,0,2,0,2,0.0,29,0.0,0,0.0,0.875,0,0,12.0,0,0.0
1,4,0,0,2,0,0,0,1,2.0,5,0.0,0,1.0,1.0,0,0,4.0,0,0.0
1,1,0,5,1,0,5,0,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0
9,3,0,40,101,0,1,40,4,0.458333333,505,1.0,2,0.724137931,0.222222222,1,1,54.77777778,1,0.8889
23,1,0,111,23,253,105,10,23,2.0,23,0.0,0,0.0,0.202898551,0,0,0.0,1,1.0
4,2,0,7,10,6,4,5,4,2.0,28,0.0,0,0.9375,0.392857143,0,0,6.0,1,0.5
10,1,0,22,10,45,20,2,10,1.111111111,51,0.0,0,0.0,0.3,0,0,0.0,1,1.0
8,1,1,3,15,0,2,1,7,0.571428571,133,1.0,0,0.0,0.35,0,0,15.25,4,1.75
6,2,0,11,23,1,2,11,3,0.75,88,1.0,3,0.764705882,0.466666667,1,2,13.0,2,0.8333
12,6,0,12,58,38,5,11,1,0.8,306,1.0,1,0.983655275,0.25,4,12,24.08333333,3,1.5833
3,1,0,0,3,3,0,0,3,2.0,3,0.0,0,0.0,0.666666667,0,0,0.0,1,1.0
4,8,0,9,15,2,2,7,3,0.333333333,97,1.0,1,0.978571429,0.4375,2,2,22.75,4,1.5
8,2,0,3,22,0,1,2,6,0.619047619,109,1.0,1,0.7,0.3,1,1,12.25,1,0.75
15,4,0,22,89,51,1,22,11,0.826530612,776,0.857142857,1,0.847826087,0.373333333,2,2,49.8,5,1.4667
12,1,0,8,22,60,0,8,12,0.727272727,64,1.0,1,0.0,0.104166667,0,0,4.25,1,0.9167
6,1,5,9,10,7,7,2,2,0.72,174,0.0,1,0.0,0.44,0,0,27.16666667,6,1.8333
18,1,1,6,28,25,5,1,18,0.647058824,390,1.0,1,0.0,0.179012346,0,0,20.22222222,1,0.9444
2,3,0,1,4,1,1,0,2,2.0,15,0.0,0,0.933333333,0.75,0,0,6.5,2,1.0
3,1,0,5,12,0,0,5,3,0.875,61,0.75,1,0.0,0.555555556,0,0,18.0,4,1.6667
15,2,0,10,30,79,3,9,13,0.892857143,129,1.0,0,0.666666667,0.314285714,0,0,7.2,4,1.0
1,1,0,26,1,0,25,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0
11,2,0,5,21,43,2,3,9,0.85,106,0.5,0,0.578947368,0.522727273,1,6,8.454545455,2,0.8182
13,2,0,4,27,46,1,3,11,0.777777778,201,0.333333333,0,0.523809524,0.333333333,1,6,14.23076923,2,1.0769
3,2,3,7,8,1,3,4,2,0.5,28,1.0,1,0.857142857,0.583333333,0,0,8.0,1,0.6667
7,2,0,1,13,0,1,0,7,0.0,213,1.0,0,0.684210526,0.342857143,1,2,29.28571429,1,0.8571
10,1,0,33,10,45,30,5,10,2.0,10,0.0,0,0.0,0.283333333,0,0,0.0,1,1.0
7,3,3,18,25,0,10,11,7,0.416666667,175,1.0,2,0.934210526,0.357142857,2,4,23.71428571,3,1.1429
1,1,0,8,1,0,8,0,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0
6,1,0,6,13,0,3,3,6,0.4,55,1.0,1,0.0,0.458333333,0,0,7.833333333,2,1.0
6,1,0,14,7,7,14,0,6,0.8,38,1.0,0,0.0,0.375,0,0,4.666666667,1,0.8333
9,4,0,3,12,36,0,3,9,2.0,50,0.0,0,0.911111111,0.555555556,1,5,4.555555556,1,0.8889
8,2,0,2,17,0,1,1,6,0.171428571,514,1.0,1,0.65,0.3125,1,2,62.625,1,0.875
5,1,0,10,14,0,9,1,4,1.166666667,201,0.083333333,0,0.0,0.5,0,0,34.4,9,2.2
15,1,3,9,39,91,5,4,7,0.811688312,824,0.818181818,3,0.0,0.267857143,0,0,52.46666667,14,3.4667
6,2,0,5,23,9,1,5,3,1.05,160,1.0,0,0.864864865,0.555555556,2,3,25.0,4,1.8333
9,1,0,5,19,10,3,2,7,0.375,120,0.0,1,0.0,0.4375,0,0,12.11111111,4,1.6667
3,2,0,3,9,3,1,0,3,2.0,27,0.0,0,0.777777778,0.833333333,1,1,8.0,1,0.6667
23,2,0,13,49,201,2,13,21,0.918181818,266,1.0,0,0.534883721,0.176767677,1,1,10.13043478,1,0.8696
15,2,0,18,28,101,5,17,13,0.75,118,1.0,2,0.548387097,0.2,1,1,6.733333333,2,1.0667
2,2,0,2,3,1,1,1,2,2.0,10,0.0,0,1.0,0.75,0,0,4.0,0,0.0
5,3,0,4,18,0,0,4,5,0.666666667,107,1.0,0,0.902439024,0.8,1,1,19.8,1,0.8
6,1,6,10,10,7,8,2,2,0.72,174,0.0,1,0.0,0.44,0,0,27.16666667,6,1.8333
8,1,0,7,42,14,0,7,2,0.75,308,0.0,2,0.0,0.238095238,0,0,37.0,4,1.5
0,1,0,1,0,0,1,0,0,2.0,24,0.0,0,0.0,0.0,0,0,0.0,0,0.0
1,6,0,1,2,0,0,1,1,2.0,6,0.0,0,1.0,1.0,0,0,5.0,0,0.0
23,3,1,14,73,151,1,13,23,0.921717172,668,0.777777778,2,0.627118644,0.207729469,3,3,27.26086957,26,2.3913
3,3,0,10,25,0,1,10,2,0.0,136,1.0,0,0.945945946,0.5,1,1,44.0,2,1.0
2,1,0,4,2,1,4,0,2,2.0,2,0.0,0,0.0,0.666666667,0,0,0.0,1,1.0
3,1,0,2,21,1,0,2,2,0.5,120,1.0,0,0.0,0.666666667,0,0,38.33333333,6,3.0
23,3,52,55,42,253,53,3,17,2.0,249,0.0,0,0.765957447,0.456521739,1,2,9.826086957,4,1.6087
19,1,15,32,38,139,21,11,16,0.822222222,216,1.0,3,0.0,0.175438596,1,1,10.10526316,5,1.4737
1,1,0,66,1,0,65,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0
0,1,0,0,0,0,0,0,0,2.0,3,0.0,0,0.0,0.0,0,0,0.0,0,0.0
5,1,0,5,18,4,4,3,4,0.821428571,112,1.0,2,0.0,0.35,0,0,20.0,2,1.2
